"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"47","11-03-036-00208-029573",2015,"029573",3137
"48","11-03-037-00212-800166",1979,"800166",9802
"49","11-03-038-00214-030670",99,"030670",NA
"50","11-03-038-00216-800176",1975,"800176",9809
"51","11-03-039-00218-032287",2008,"032287",4103
"52","11-03-040-00222-032894",1995,"032894",8469
"53","11-03-041-00226-800194",2008,"800194",3837
"54","11-03-041-00227-800196",1983,"800196",6742
"55","11-03-041-00229-800198",99,"800198",NA
"56","11-03-042-00233-800202",1978,"800202",8936
"57","11-03-043-00237-035068",2011,"035068",4272
"58","11-03-043-00238-035179",99,"035179",NA
"59","11-03-044-00239-035280",99,"035280",NA
"60","11-03-044-00241-035409",99,"035409",NA
"61","11-03-045-00242-035582",1982,"035582",8794
"62","11-03-046-00245-035793",1999,"035793",9003
"63","11-03-046-00245-800226",99,"800226",NA
"64","11-03-048-00252-036317",2020,"036317",8455
"65","11-03-048-00252-036363",99,"036363",NA
"66","11-03-048-00253-800242",1995,"800242",9804
"67","11-03-048-00254-037059",99,"037059",NA
"68","11-03-050-00259-800254",99,"800254",NA
"69","11-03-050-00261-038269",99,"038269",NA
"70","11-03-050-00261-038270",1992,"038270",7068
"71","11-03-051-00263-038577",99,"038577",NA
"72","11-03-052-00266-800262",1994,"800262",8732
"73","11-03-052-00267-039195",99,"039195",NA
"74","11-03-052-00267-039201",99,"039201",NA
"75","11-03-052-00267-039228",1994,"039228",9811
"76","11-03-052-00268-039261",1991,"039261",8733
"77","11-03-053-00271-039766",1978,"039766",8780
"78","11-03-054-00275-039967",2007,"039967",3763
"79","11-05-057-00287-041364",99,"041364",NA
"80","11-05-057-00287-041420",99,"041420",NA
"81","11-05-059-00299-044604",99,"044604",NA
"82","11-05-060-00301-044715",99,"044715",NA
"83","11-05-060-00303-045089",99,"045089",NA
"84","11-05-060-00303-045111",2003,"045111",6602
"85","11-05-060-00304-800311",2003,"800311",6603
"86","11-05-061-00313-048529",2003,"048529",6605
